0,0,0-0.48302746,-0.0684149,0.04963134,5
17.015062,-3.4369907,5.6001024,0.55693996,-3.383483,4.3538136,5
17.015062,-3.4369907,5.6001024,0.14889401,-2.6440523,4.654045,5
8.536993,-8.586644,-0.4112664,0.14889401,-2.6440523,4.654045,5
8.536993,-8.586644,-0.4112664,-1.5434583,-0.36482853,1.2363548,5
6.090631,-12.3708935,0.4648058,-1.5434583,-0.36482853,1.2363548,5
6.090631,-12.3708935,0.4648058,-0.4602734,1.0996778,0.8021952,5
6.090631,-12.3708935,0.4648058,1.1002886,-1.1274713,-0.060321167,5
3.3867414,-6.384649,0.90149593,1.1002886,-1.1274713,-0.060321167,5
3.3029926,-9.5348,0.12023934,1.1002886,-1.1274713,-0.060321167,5
3.3029926,-9.5348,0.12023934,-0.39246938,-0.42759308,0.31107396,5
3.3029926,-9.5348,0.12023934,-0.26709297,-0.34176904,0.016034741,5
3.7594235,-11.363813,0.34337005,-0.26709297,-0.34176904,0.016034741,5
2.969493,-10.607083,-0.033499517,-0.26709297,-0.34176904,0.016034741,5
2.969493,-10.607083,-0.033499517,-0.051769305,-0.14629792,0.11743539,5
1.9525433,-9.294321,0.35294133,-0.051769305,-0.14629792,0.11743539,5
1.9525433,-9.294321,0.35294133,0.28205872,0.39048412,0.09651387,5
1.9525433,-9.294321,0.35294133,-0.35306972,-0.103996746,0.15958385,5
3.0580273,-11.678769,0.18723837,-0.35306972,-0.103996746,0.15958385,5
3.0580273,-11.678769,0.18723837,-0.49051034,0.14034216,-0.2133384,5
2.056033,-10.856236,-0.26889345,-0.49051034,0.14034216,-0.2133384,5
2.056033,-10.856236,-0.26889345,-0.4576773,-0.21608722,-0.24296449,5
2.6973093,-9.406186,-1.0698909,-0.4576773,-0.21608722,-0.24296449,5
2.6973093,-9.406186,-1.0698909,-0.12598725,0.16370706,0.11056335,5
3.687938,-9.933504,-3.167798,-0.12598725,0.16370706,0.11056335,5
3.687938,-9.933504,-3.167798,0.17897825,-0.20982604,0.107050985,5
3.705585,-9.837791,-2.5435705,0.17897825,-0.20982604,0.107050985,5
3.705585,-9.837791,-2.5435705,-0.056961507,0.02687728,-0.016951011,5
2.8519454,-9.935897,-2.1891336,-0.056961507,0.02687728,-0.016951011,5
2.8519454,-9.935897,-2.1891336,0.07375981,-0.076966755,0.013133216,5
2.8669007,-10.063314,-1.963311,0.07375981,-0.076966755,0.013133216,5
2.8669007,-10.063314,-1.963311,0.061084725,-0.07513421,0.03283304,5
2.6362925,-10.122238,-2.0521445,0.061084725,-0.07513421,0.03283304,5
2.6362925,-10.122238,-2.0521445,-0.07406523,-0.12827793,-0.14064758,5
4.0567317,-10.086346,-2.6766713,-0.07406523,-0.12827793,-0.14064758,5
4.0567317,-10.086346,-2.6766713,-0.5920637,-0.64703995,-0.8290724,5
3.2673993,-9.159426,-2.876771,-0.5920637,-0.64703995,-0.8290724,5
3.4196427,-8.713164,-3.2862427,-0.5920637,-0.64703995,-0.8290724,5
3.4196427,-8.713164,-3.2862427,0.6601732,-6.1084726E-4,-0.051005747,5
3.4196427,-8.713164,-3.2862427,0.5308263,-0.4535541,0.08063184,5
4.0480576,-10.013963,-3.2721848,0.5308263,-0.4535541,0.08063184,5
4.0480576,-10.013963,-3.2721848,0.43324342,-0.45599747,0.005803049,5
3.8383865,-9.943673,-1.2122638,0.43324342,-0.45599747,0.005803049,5
3.8383865,-9.943673,-1.2122638,0.6572716,-0.27579755,0.15546063,5
3.5413775,-10.1751795,0.37567315,0.6572716,-0.27579755,0.15546063,5
3.1827533,-10.14168,0.4001996,0.6572716,-0.27579755,0.15546063,5
3.1827533,-10.14168,0.4001996,0.44133714,-0.23380178,0.33352262,5
3.1827533,-10.14168,0.4001996,0.15683503,-0.029320668,0.15988927,5
2.4945176,-10.649257,0.89013004,0.15683503,-0.029320668,0.15988927,5
2.4945176,-10.649257,0.89013004,-0.087962,0.14034216,0.10292777,5
2.5106692,-10.599008,0.99003035,-0.087962,0.14034216,0.10292777,5
2.5106692,-10.599008,0.99003035,-0.3170297,0.19486028,-0.074217945,5
1.9570298,-10.457233,0.44835514,-0.3170297,0.19486028,-0.074217945,5
1.9992033,-10.455738,-0.40438703,-0.3170297,0.19486028,-0.074217945,5
1.9992033,-10.455738,-0.40438703,-0.2765611,0.13362284,-0.05971032,5
1.9992033,-10.455738,-0.40438703,-0.14003673,0.0827698,0.06001574,5
2.1364915,-10.332507,-1.0211371,-0.14003673,0.0827698,0.06001574,5
2.224727,-10.362717,-1.087837,-0.14003673,0.0827698,0.06001574,5
2.224727,-10.362717,-1.087837,0.010231691,-0.035123717,0.071927264,5
2.224727,-10.362717,-1.087837,0.062764555,-0.06306998,0.01175881,5
