gx,gy,gz,ax,ay,az,label
5.947959,-11.36501,-2.3545375,0.56839335,-0.026724568,0.6259657,1
1.2403795,-10.285848,0.06460621,0.56839335,-0.026724568,0.6259657,1
1.1623136,-10.066904,1.0591232,0.56839335,-0.026724568,0.6259657,1
1.1623136,-10.066904,1.0591232,0.46454933,-0.034054734,0.6426113,1
1.1623136,-10.066904,1.0591232,0.3475721,0.17852011,0.6371137,1
1.2580265,-10.220045,0.8979067,0.3475721,0.17852011,0.6371137,1
1.2580265,-10.220045,0.8979067,-0.1447708,0.41003123,0.2948865,1
2.6392834,-12.020045,0.76719874,-0.1447708,0.41003123,0.2948865,1
2.6392834,-12.020045,0.76719874,-1.2795722,0.41415444,-1.67983,1
1.2050853,-11.7717905,-0.7722835,-1.2795722,0.41415444,-1.67983,1
1.2050853,-11.7717905,-0.7722835,-0.025655584,-1.0405782,-1.2265813,1
1.6157535,-9.087043,-0.669093,-0.025655584,-1.0405782,-1.2265813,1
1.6157535,-9.087043,-0.669093,0.6306998,-0.26510772,0.26724568,1
4.5936213,-9.823135,-2.5788646,0.6306998,-0.26510772,0.26724568,1
2.2755744,-11.012368,-1.3534403,0.6306998,-0.26510772,0.26724568,1
2.2755744,-11.012368,-1.3534403,0.4225536,-0.23196925,0.30068958,1
1.0142577,-9.875179,1.4123635,0.4225536,-0.23196925,0.30068958,1
1.0142577,-9.875179,1.4123635,0.48134765,0.48027867,0.5131117,1
1.0142577,-9.875179,1.4123635,0.34115818,0.27564484,0.563812,1
2.0210378,-10.243375,0.9936196,0.34115818,0.27564484,0.563812,1
2.03031,-11.184352,1.274178,0.34115818,0.27564484,0.563812,1
2.03031,-11.184352,1.274178,0.05207473,0.14370182,0.590842,1
2.03031,-11.184352,1.274178,-1.3194301,0.9150492,-1.1722159,1
1.1240284,-11.969497,-0.9101699,-1.3194301,0.9150492,-1.1722159,1
1.1240284,-11.969497,-0.9101699,-0.36635566,-0.34192175,-1.28507,1
2.4607189,-9.815658,-1.3477573,-0.36635566,-0.34192175,-1.28507,1
2.4607189,-9.815658,-1.3477573,0.61481774,-0.16324893,0.07543964,1
2.9153552,-8.817552,-2.1475582,0.61481774,-0.16324893,0.07543964,1
2.9153552,-8.817552,-2.1475582,0.3077143,-0.21853061,0.21868332,1
4.1871405,-10.87179,-2.0563319,0.3077143,-0.21853061,0.21868332,1
4.1871405,-10.87179,-2.0563319,0.47126865,0.5630485,0.4912739,1
0.6789634,-10.693225,0.6586244,0.47126865,0.5630485,0.4912739,1
0.6789634,-10.693225,0.6586244,0.33428615,0.98422766,0.36773005,1
1.1249257,-10.426426,1.7389839,0.33428615,0.98422766,0.36773005,1
