ax,ay,az,label
1.3920245,-11.924931,-0.49830532,1
2.8582265,-9.893126,-0.8132606,1
4.307978,-8.997611,-1.8257236,1
3.0269206,-11.207383,-1.4967105,1
4.1198425,-9.752846,1.6363916,1
1.0666007,-10.723734,2.4963121,1
0.56350976,-10.308878,1.9731814,1
3.6544385,-11.48824,0.7175477,1
2.5034907,-11.893525,0.5270192,1
2.079961,-9.52493,-0.35473597,1
4.653442,-9.018549,-2.3150558,1
3.2730823,-11.172089,-1.3929219,1
1.2005987,-9.84168,1.3707882,1
2.059622,-10.145568,1.6277176,1
3.0203404,-10.997712,1.2963116,1
3.705585,-12.528521,-0.20518455,1
2.3856442,-9.876077,0.6029913,1
2.9769704,-8.384749,-1.7584256,1
5.4517474,-12.056237,-1.8738792,1
0.9804591,-9.196216,1.5565311,1
2.1592233,-9.910174,1.4781662,1
2.6632116,-10.927722,1.6683956,1
2.2707887,-12.641582,-0.62183475,1
2.6925237,-9.663713,-0.96849495,1
3.2033913,-8.180463,-1.9435701,1
5.259125,-12.326626,-2.1529422,1
1.320539,-9.295816,1.1736795,1
1.6624135,-10.22154,2.169692,1
2.414657,-10.378569,1.9507487,1
0.31316066,-11.866905,1.5164514,1
-1.5245271,-10.942378,-0.064905316,1
0.45224348,-9.598808,-1.4234303,1
3.2820554,-8.930911,-2.922833,1
3.6466618,-8.863613,-3.7363925,1
1.1410773,-11.333903,-2.1535404,1
2.419443,-10.3899355,1.8248264,1
2.8989046,-10.2107725,1.809273,1
3.1223345,-10.41506,1.9100707,1
3.8644085,-12.122638,-0.32093734,1
2.5809584,-10.89482,-0.22701904,1
1.6962122,-7.106982,-0.52552366,1
6.997511,-11.003096,-3.0086753,1
1.2690933,-10.631311,0.6155536,1
2.3464618,-10.047761,1.7318054,1
2.4702902,-10.137492,1.3019946,1
4.6357946,-11.99851,0.16570297,1
2.8082764,-11.859726,-0.08075777,1
1.1192428,-6.789933,-0.43639103,1
6.1061845,-10.509576,-3.313461,1
1.7255242,-10.959427,0.6580262,1
2.6006992,-10.303494,1.2969099,1
2.5576284,-9.97149,1.4635102,1
3.7498522,-11.709277,1.2792628,1
1.7096717,-11.668899,-0.7079764,1
2.8453653,-8.996714,-0.4112664,1
5.7167525,-9.246465,-2.548356,1
3.1836505,-10.578071,-0.7827521,1
3.9167516,-9.860523,2.3174486,1
1.3280165,-10.593624,2.5755744,1
1.2801601,-10.854442,2.1502502,1
4.6758747,-10.927124,0.029012974,1
3.6807594,-12.187243,0.86979103,1
1.015454,-7.192825,-0.42203408,1
6.6089764,-10.069297,-3.5877385,1
2.51037,-11.157732,0.5353941,1
3.4151561,-9.821041,1.2095718,1
2.3841486,-9.797113,1.4635102,1
4.8469615,-11.843276,0.33020952,1
2.6042883,-12.224033,-0.3930211,1
1.1656038,-6.826723,-0.328714,1
5.691927,-10.856236,-3.202494,1
3.094518,-10.837093,0.49501517,1
2.4708884,-9.807881,1.398904,1
2.565704,-9.985249,1.422533,1
4.944768,-11.482557,0.14416756,1
2.2818556,-12.305689,-0.17766708,1
1.4724833,-7.469196,-0.19351953,1
6.595217,-9.675677,-2.9018958,1
1.6307086,-11.206785,0.18693927,1
2.5767708,-10.407283,1.7413766,1
2.079961,-10.457831,2.0874386,1
2.6512475,-10.101899,2.408376,1
-1.3977076,-12.423834,1.1470593,1
2.6036901,-9.6738825,0.096909314,1
3.0176485,-9.629316,-2.175375,1
4.0651064,-8.833404,-2.8692935,1
2.7939196,-10.471291,-2.702095,1
1.8735801,-10.472487,1.3124632,1
3.3628132,-10.105787,1.7662022,1
3.2919257,-10.202099,1.2349956,1
4.403691,-12.071491,0.71455663,1
1.9671993,-11.172388,-0.47856453,1
2.3524437,-8.076973,-0.35653058,1
8.466703,-11.809776,-2.9976087,1
1.829612,-9.871889,1.8681962,1
2.6518457,-10.091131,1.6977077,1
3.4366915,-10.712368,1.4018949,1
3.071188,-11.967104,-0.15343975,1
3.4863427,-10.070194,-0.5554339,1
2.672783,-7.6310105,-0.98554385,1
5.812465,-11.514262,-2.5259235,1
2.286043,-9.854242,1.0295119,1
2.5914268,-9.962517,1.5565311,1
